chromosome_index	start_position	end_position	major_cn	minor_cn	total_cn
1	6	9	1	1	2
1	11	14	2	1	3
1	16	19	2	1	3
1	21	24	1	0	1
1	26	29	3	1	4
1	31	34	2	1	3
1	36	39	1	1	2
1	41	44	1	1	2
1	46	49	1	1	2
1	51	54	1	1	2
1	56	59	2	1	3
1	61	64	2	1	3
1	66	69	2	2	4
1	71	74	1	0	1
1	76	79	2	1	3
1	81	84	2	1	3
1	86	89	2	2	4
1	91	94	2	2	4
1	96	99	1	1	2
1	101	104	1	1	2
1	106	109	1	1	2
1	111	114	2	1	3
1	116	119	1	1	2
1	121	124	1	1	2
1	126	129	1	1	2
1	131	134	3	1	4
1	136	139	1	1	2
1	141	144	2	1	3
1	146	149	1	1	2
1	151	154	3	1	4
1	156	159	3	1	4
1	161	164	1	1	2
1	166	169	2	1	3
1	171	174	1	1	2
1	176	179	3	1	4
1	181	184	2	1	3
1	186	189	2	1	3
1	191	194	1	0	1
1	196	199	2	1	3
1	201	204	2	1	3
1	206	209	1	1	2
1	211	214	2	1	3
1	216	219	2	1	3
1	221	224	2	1	3
1	226	229	1	1	2
1	231	234	2	1	3
1	236	239	2	1	3
1	241	244	3	1	4
1	246	249	1	1	2
1	251	254	2	1	3
1	256	259	1	1	2
1	261	264	3	1	4
1	266	269	1	1	2
1	271	274	1	1	2
1	276	279	3	1	4
1	281	284	1	1	2
1	286	289	2	1	3
1	291	294	1	1	2
1	296	299	3	1	4
1	301	304	3	1	4
1	306	309	3	1	4
1	311	314	1	0	1
1	316	319	1	1	2
1	321	324	3	1	4
1	326	329	3	1	4
1	331	334	3	1	4
1	336	339	1	1	2
1	341	344	2	1	3
1	346	349	1	1	2
1	351	354	1	1	2
1	356	359	3	1	4
1	361	364	2	1	3
1	366	369	2	2	4
1	371	374	2	1	3
1	376	379	1	1	2
1	381	384	1	1	2
1	386	389	3	1	4
1	391	394	3	1	4
1	396	399	1	1	2
1	401	404	1	1	2
1	406	409	1	1	2
1	411	414	1	1	2
1	416	419	1	1	2
1	421	424	1	1	2
1	426	429	1	1	2
1	431	434	1	1	2
1	436	439	1	1	2
1	441	444	2	1	3
1	446	449	2	1	3
1	451	454	1	1	2
1	456	459	1	1	2
1	461	464	2	1	3
1	466	469	2	1	3
1	471	474	3	1	4
1	476	479	1	1	2
1	481	484	2	1	3
1	486	489	2	1	3
1	491	494	1	1	2
1	496	499	1	1	2
1	501	504	3	1	4
