chromosome_index	start_position	end_position	major_cn	minor_cn	total_cn
1	809641	17140804	2	2	4
1	17141471	18145243	2	0	2
1	18145556	98430345	2	2	4
1	98430700	98526563	2	1	3
1	98527502	110928432	2	2	4
1	110928899	112272559	2	0	2
1	112278562	121599675	2	2	4
1	121601104	125122318	2	1	3
1	145436785	248916508	2	2	4
2	12091	101138261	2	2	4
2	101142720	153868752	2	1	3
2	153872959	155341434	2	0	2
2	155348336	240537656	2	1	3
2	240552028	241917917	1	0	1
3	12690	46039	3	3	6
3	46329	41904377	2	2	4
3	41910553	43694838	2	0	2
3	43719949	48126200	2	2	4
3	48127732	49192663	2	0	2
3	49224161	49260772	3	1	4
3	49273698	90299973	2	0	2
3	90300654	90454043	1	0	1
3	91297899	117326986	2	2	4
3	117327322	117942918	2	1	3
3	117944671	164046628	2	2	4
3	164048465	164114551	2	1	3
3	164115137	175498652	2	2	4
3	175499065	178948881	2	0	2
3	178955827	198098659	2	2	4
4	72156	10002624	2	1	3
4	10002765	30567801	1	1	2
4	30572802	34516643	3	1	4
4	34518191	38828211	4	1	5
4	38828391	41195110	3	1	4
4	41195185	54251638	2	1	3
4	54256327	55910682	9	2	11
4	55912783	57554950	11	2	13
4	57557818	57709880	6	2	8
4	57710048	60962723	5	2	7
4	60965676	62163460	4	2	6
4	62164736	62927844	2	2	4
4	62928217	63299762	3	2	5
4	63300987	67209822	2	2	4
4	67210077	68756263	2	1	3
4	68756500	68792965	1	1	2
4	68793501	68822269	3	0	3
4	69010289	70449403	3	2	5
4	70451906	71039104	4	2	6
4	71041953	71694239	2	2	4
4	71694980	73679990	3	2	5
4	73680786	73787434	4	2	6
4	73789873	74031388	2	1	3
4	74048437	76602353	2	2	4
4	76604921	76667296	10	2	12
4	76667476	91280417	2	1	3
4	91282548	91536294	2	0	2
4	91536343	107340915	2	1	3
4	107342116	189666691	2	2	4
5	44922	9848495	2	2	4
5	9849194	13074753	2	1	3
5	13074828	13774799	2	2	4
5	13775759	16657914	2	1	3
5	16658020	17443545	2	2	4
5	17446564	19233696	3	2	5
5	19234705	20036348	2	2	4
5	20038905	28463480	3	2	5
5	28469166	29315383	4	2	6
5	29316432	34253681	3	2	5
5	34259255	37629567	2	2	4
5	37630133	37987674	5	2	7
5	37989777	38234014	3	2	5
5	38242251	39406395	7	2	9
5	39408835	40780684	5	2	7
5	40781085	46263846	2	2	4
5	46264461	46433021	2	0	2
5	50165632	50616675	2	2	4
5	50620073	50960373	3	2	5
5	50962367	52063918	4	2	6
5	52064194	52154104	2	2	4
5	52155040	53808081	3	2	5
5	53810474	53816794	1	1	2
5	53817261	69236378	2	0	2
5	69241205	69448438	0	0	0
5	69460086	106727587	2	0	2
5	106729612	127278893	2	2	4
5	127281207	137785328	2	0	2
5	137800295	181170660	2	2	4
6	149609	13255388	2	0	2
6	13256468	58412118	2	2	4
6	58412556	63908461	2	1	3
6	63908747	64134701	3	1	4
6	64136951	64136951	4	0	4
6	64137000	64237500	3	2	5
6	64238757	64290559	5	0	5
6	64292435	170606038	2	1	3
7	198401	1505541	2	2	4
7	1508073	2236750	2	0	2
7	2238548	6337889	2	2	4
7	6340285	7110676	2	0	2
7	7112611	12433518	2	2	4
7	12435009	46201280	2	0	2
7	46203613	48010973	2	2	4
7	48012082	55229247	2	0	2
7	55232180	57876734	2	2	4
7	57880084	63005790	2	1	3
7	63006556	141359738	2	2	4
7	141370418	142367947	2	0	2
7	142368213	142410533	0	0	0
7	142410545	155262821	2	0	2
7	155264673	155287024	0	0	0
7	155290446	159325753	2	0	2
8	211532	1618391	2	0	2
8	1623408	2025793	1	0	1
8	2028637	2029422	2	0	2
8	2029518	2076367	1	0	1
8	2080029	2106222	3	0	3
8	2106381	2157321	0	0	0
8	2157360	2164517	1	0	1
8	2164657	2519405	2	0	2
8	2525895	2539793	0	0	0
8	2569413	38374356	2	0	2
8	38403297	57432162	2	2	4
8	57437922	58551060	2	0	2
8	58552133	69181279	2	2	4
8	69186447	140107690	4	2	6
8	140111646	140467543	2	2	4
8	140470231	145057494	4	2	6
8	145059697	145074901	6	3	9
9	57539	37761691	2	0	2
9	37768745	38122803	25	2	27
9	38124984	38805581	29	2	31
9	39090376	39136629	19	2	21
9	39480189	43262484	4	2	6
9	61665482	68542543	5	2	7
9	68547038	103256246	3	2	5
9	103258799	108370102	5	2	7
9	108370675	138181722	2	1	3
10	48486	30824794	2	2	4
10	30826078	43330135	2	0	2
10	43339097	43701349	5	2	7
10	43704079	44888226	2	0	2
10	44888599	46074575	3	0	3
10	46076916	46332633	2	0	2
10	46332634	56013197	1	0	1
10	56014374	61036816	2	1	3
10	61037505	61456949	1	0	1
10	61461409	63342379	4	1	5
10	63344740	64670227	10	1	11
10	64675442	64870890	6	1	7
10	64874598	64969357	2	1	3
10	64970352	69811425	2	2	4
10	69812209	70160461	2	0	2
10	70161835	70584823	2	2	4
10	70586304	71677803	3	2	5
10	71680218	71809561	9	2	11
10	71813608	72598159	13	2	15
10	72602597	72618679	28	0	28
10	72619843	72629957	26	4	30
10	72630006	72661122	17	0	17
10	72665997	72967629	9	1	10
10	72970560	72972690	16	2	18
10	72973554	72981423	15	2	17
10	72982170	75842107	23	2	25
10	75852973	76430201	19	2	21
10	76431222	76888786	5	2	7
10	76889844	77374720	11	2	13
10	77375737	77414457	28	2	30
10	77415249	77709184	19	2	21
10	77709746	78326289	24	2	26
10	78326564	78856925	26	2	28
10	78856966	79154025	30	2	32
10	79154037	79235799	22	2	24
10	79236756	79945677	19	2	21
10	79946379	80269641	13	2	15
10	80270902	81896770	9	2	11
10	81900981	84215490	3	2	5
10	84217264	84456471	2	2	4
10	84461397	85028238	4	2	6
10	85032590	133621484	2	0	2
11	199813	45400554	2	1	3
11	45401189	48625555	2	2	4
11	48627764	48937954	2	1	3
11	48938439	50106025	2	2	4
11	50106306	55735637	2	1	3
11	55740691	94194858	2	2	4
11	94195383	94409291	2	1	3
11	94411821	117015398	2	2	4
11	117024796	118837855	2	0	2
11	118845854	135075414	2	2	4
12	175764	28599421	2	2	4
12	28600489	93849142	2	1	3
12	93851938	93894987	2	0	2
12	93895871	114637988	2	1	3
12	114641787	114697625	2	0	2
12	114703029	115349775	0	0	0
12	115350757	115678438	1	0	1
12	115678928	133248987	2	1	3
13	18455821	18693149	2	2	4
13	18698417	114343518	2	1	3
14	19784736	21909724	2	2	4
14	21910153	22528875	3	2	5
14	22529966	106882543	2	2	4
15	19790523	50403242	2	1	3
15	50403674	50495758	2	2	4
15	50503906	50844446	3	2	5
15	50845259	101888846	2	0	2
16	34170	13237169	2	0	2
16	13237291	13463304	2	2	4
16	13464565	13604118	2	0	2
16	13604970	16915052	2	1	3
16	16999013	19149936	4	2	6
16	19150597	23127206	2	2	4
16	23128488	24007891	2	1	3
16	24008553	25305283	2	2	4
16	25310125	26126842	7	2	9
16	26128784	26518401	6	2	8
16	26519299	26785974	4	2	6
16	26785999	48414175	2	1	3
16	48416502	49348920	2	2	4
16	49350472	50037319	2	0	2
16	50041365	50191020	2	1	3
16	50198770	51203865	2	0	2
16	51205986	51249755	2	1	3
16	51250387	58661235	2	0	2
16	58662802	71210995	2	2	4
16	71211923	90083514	2	0	2
16	90084123	90096867	0	0	0
