chromosome_index	startpos	endpos	major_cn	minor_cn	total_cn
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	152621368	153887765	1	0	1
1	152621368	153887765	1	0	1
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	809641	152621073	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	809641	152621073	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	809641	152621073	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	809641	152621073	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	809641	152621073	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	809641	152621073	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	809641	152621073	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	809641	152621073	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	809641	152621073	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	153887829	248916508	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
1	809641	152621073	1	1	2
