chromosome_index	start_position	end_position	major_cn	minor_cn	total_cn
1	6	9	2	1	3
1	11	14	3	1	4
1	16	19	2	1	3
1	21	24	1	1	2
1	26	29	3	1	4
1	31	34	2	1	3
1	36	39	2	1	3
1	41	44	3	1	4
1	46	49	1	1	2
1	51	54	2	1	3
1	56	59	2	1	3
1	61	64	3	1	4
1	66	69	2	1	3
1	71	74	3	1	4
1	76	79	2	2	4
1	81	84	2	1	3
1	86	89	1	1	2
1	91	94	1	1	2
1	96	99	1	1	2
1	101	104	1	1	2
1	106	109	1	1	2
1	111	114	1	1	2
1	116	119	1	1	2
1	121	124	2	1	3
1	126	129	3	1	4
1	131	134	1	1	2
1	136	139	1	1	2
1	141	144	2	2	4
1	146	149	1	1	2
1	151	154	1	1	2
1	156	159	3	1	4
1	161	164	3	1	4
1	166	169	2	1	3
1	171	174	3	1	4
1	176	179	1	1	2
1	181	184	1	0	1
1	186	189	1	1	2
1	191	194	2	1	3
1	196	199	1	1	2
1	201	204	2	1	3
1	206	209	2	2	4
1	211	214	3	1	4
1	216	219	2	1	3
1	221	224	3	1	4
1	226	229	3	1	4
1	231	234	1	1	2
1	236	239	1	1	2
1	241	244	3	1	4
1	246	249	2	1	3
1	251	254	3	1	4
1	256	259	2	1	3
1	261	264	1	1	2
1	266	269	2	2	4
1	271	274	2	2	4
1	276	279	3	1	4
1	281	284	3	1	4
1	286	289	1	1	2
1	291	294	2	2	4
1	296	299	3	1	4
1	301	304	1	1	2
1	306	309	1	1	2
1	311	314	1	1	2
1	316	319	1	1	2
1	321	324	1	1	2
1	326	329	2	1	3
1	331	334	2	1	3
1	336	339	3	1	4
1	341	344	1	1	2
1	346	349	3	1	4
1	351	354	1	1	2
1	356	359	1	1	2
1	361	364	2	1	3
1	366	369	2	1	3
1	371	374	3	1	4
1	376	379	3	1	4
1	381	384	3	1	4
1	386	389	2	2	4
1	391	394	3	1	4
1	396	399	1	0	1
1	401	404	1	1	2
1	406	409	2	2	4
1	411	414	1	1	2
1	416	419	2	1	3
1	421	424	2	1	3
1	426	429	1	1	2
1	431	434	3	1	4
1	436	439	2	1	3
1	441	444	3	1	4
1	446	449	1	1	2
1	451	454	1	1	2
1	456	459	1	1	2
1	461	464	3	1	4
1	466	469	2	2	4
1	471	474	1	1	2
1	476	479	3	1	4
1	481	484	1	0	1
1	486	489	1	1	2
1	491	494	1	1	2
1	496	499	3	1	4
1	501	504	2	1	3
